Frage;Antwortoptionen;Richtung
Ich habe wenig Erfahrungen im Bereich Brettspiele.;Likert Scale;negativ
Leute bitten mich oft um Hilfe beim Spielen oder Lernen von Brettspielen.;Likert Scale;positiv
Ich bin kompetent, wenn es um Brettspiele geht.;Likert Scale;positiv
Ich bin ein Spielexperte.;Likert Scale;positiv
Ich bin nicht besonders qualifiziert, über Brettspiele zu reden.;Likert Scale;negativ
In meiner Freizeit spiele ich sehr oft Brettspiele.;Likert Scale;positiv
Ich habe Erfahrung mit Strategiespielen.;Likert Scale;positiv
